InvoiceNumber,CreatedTime,StoreID,PosID,CustomerType,CustomerCardNo,PaymentMethod,DeliveryType,City,State,PinCode,ItemCode,ItemDescription,ItemPrice,ItemQty,TotalValue
13695521,1595689037056,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Imphal,Manipur,,338,Kneeling chairs,442.0,1,442.0
13695521,1595689037056,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Imphal,Manipur,,408,Confidante,1242.0,1,1242.0
13695521,1595689037056,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Imphal,Manipur,,248,TV tray table,1947.0,1,1947.0
27930226,1595689037056,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,623,Box Pleat Drapes,1683.0,1,1683.0
27930226,1595689037056,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,613,Goblet Pleat Drapes,1583.0,1,1583.0
61074150,1595689038061,STR6162,POS431,NONPRIME,8651346374,CARD,HOME-DELIVERY,Dehri,Bihar,,443,Margarita glass,2475.0,2,4950.0
61074150,1595689038061,STR6162,POS431,NONPRIME,8651346374,CARD,HOME-DELIVERY,Dehri,Bihar,,443,Margarita glass,2475.0,2,4950.0
7261298,1595689038061,STR3781,POS129,PRIME,4692642935,CASH,HOME-DELIVERY,Allappuzha,Kerala,,488,Bread knife,1077.0,2,2154.0
7261298,1595689038061,STR3781,POS129,PRIME,4692642935,CASH,HOME-DELIVERY,Allappuzha,Kerala,,678,Fillet knife,350.0,1,350.0
7261298,1595689038061,STR3781,POS129,PRIME,4692642935,CASH,HOME-DELIVERY,Allappuzha,Kerala,,463,Cookie jars,793.0,2,1586.0
7261298,1595689038061,STR3781,POS129,PRIME,4692642935,CASH,HOME-DELIVERY,Allappuzha,Kerala,,293,Bar stool,1148.0,1,1148.0
76000582,1595689038562,STR1955,POS769,PRIME,8154556937,CARD,HOME-DELIVERY,Ratlam,Madhya Pradesh,,688,Ladle,570.0,1,570.0
76000582,1595689038562,STR1955,POS769,PRIME,8154556937,CARD,HOME-DELIVERY,Ratlam,Madhya Pradesh,,238,Dining table,1582.0,2,3164.0
76000582,1595689038562,STR1955,POS769,PRIME,8154556937,CARD,HOME-DELIVERY,Ratlam,Madhya Pradesh,,258,Closet,1687.0,1,1687.0
64929474,1595689039064,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Arrah,Bihar,,603,Sheer Curtains,1282.0,2,2564.0
64929474,1595689039064,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Arrah,Bihar,,698,Meat grinder,1250.0,1,1250.0
58575720,1595689040068,STR1955,POS324,NONPRIME,3916555911,CASH,HOME-DELIVERY,Serampore,West Bengal,,298,Bardic chair,1649.0,2,3298.0
58575720,1595689040068,STR1955,POS324,NONPRIME,3916555911,CASH,HOME-DELIVERY,Serampore,West Bengal,,493,Boning knife,513.0,2,1026.0
58575720,1595689040068,STR1955,POS324,NONPRIME,3916555911,CASH,HOME-DELIVERY,Serampore,West Bengal,,628,Window Scarf,1774.0,2,3548.0
58575720,1595689040068,STR1955,POS324,NONPRIME,3916555911,CASH,HOME-DELIVERY,Serampore,West Bengal,,403,Adjustable Air Mattress,1417.0,1,1417.0
98504520,1595689040570,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,523,Oil-lamp clock,1371.0,1,1371.0
61230529,1595689041072,STR1955,POS992,NONPRIME,1482417862,CASH,TAKEAWAY,,,,343,Massage chair,1354.0,2,2708.0
45730190,1595689041573,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,463,Cookie jars,793.0,2,1586.0
45730190,1595689041573,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,338,Kneeling chairs,442.0,1,442.0
45730190,1595689041573,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,553,Banjo clock,1651.0,2,3302.0
45730190,1595689041573,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,518,Hourglass,1598.0,2,3196.0
20225725,1595689042577,STR6347,POS927,NONPRIME,3996109634,CARD,HOME-DELIVERY,Ongole,Andhra Pradesh,,598,Grommet Curtains,914.0,1,914.0
20225725,1595689042577,STR6347,POS927,NONPRIME,3996109634,CARD,HOME-DELIVERY,Ongole,Andhra Pradesh,,658,Chinois,567.0,1,567.0
20225725,1595689042577,STR6347,POS927,NONPRIME,3996109634,CARD,HOME-DELIVERY,Ongole,Andhra Pradesh,,243,Folding table,738.0,1,738.0
20225725,1595689042577,STR6347,POS927,NONPRIME,3996109634,CARD,HOME-DELIVERY,Ongole,Andhra Pradesh,,413,Slipcover,1896.0,1,1896.0
65297944,1595689045086,STR3781,POS843,NONPRIME,1191112820,CARD,HOME-DELIVERY,Secunderabad,Andhra Pradesh,,343,Massage chair,1354.0,1,1354.0
65297944,1595689045086,STR3781,POS843,NONPRIME,1191112820,CARD,HOME-DELIVERY,Secunderabad,Andhra Pradesh,,658,Chinois,567.0,1,567.0
65297944,1595689045086,STR3781,POS843,NONPRIME,1191112820,CARD,HOME-DELIVERY,Secunderabad,Andhra Pradesh,,553,Banjo clock,1651.0,2,3302.0
65297944,1595689045086,STR3781,POS843,NONPRIME,1191112820,CARD,HOME-DELIVERY,Secunderabad,Andhra Pradesh,,313,Brewster Chair,2195.0,1,2195.0
60146332,1595689045588,STR3781,POS978,NONPRIME,6244229107,CARD,TAKEAWAY,,,,428,Cocktail glass,1422.0,2,2844.0
59911852,1595689045588,STR5494,POS353,NONPRIME,8189067868,CASH,TAKEAWAY,,,,283,Portable Lamps,2236.0,2,4472.0
24130688,1595689046089,STR2629,POS768,NONPRIME,1360645962,CARD,HOME-DELIVERY,Sambalpur,Odisha,,478,Teapot,885.0,1,885.0
24130688,1595689046089,STR2629,POS768,NONPRIME,1360645962,CARD,HOME-DELIVERY,Sambalpur,Odisha,,228,Divan,1083.0,2,2166.0
24130688,1595689046089,STR2629,POS768,NONPRIME,1360645962,CARD,HOME-DELIVERY,Sambalpur,Odisha,,308,Butterfly chair,857.0,2,1714.0
97742402,1595689047091,STR2629,POS172,NONPRIME,7829975914,CASH,HOME-DELIVERY,Mandasor,Madhya Pradesh,,253,Bathroom cabinet,1513.0,2,3026.0
97742402,1595689047091,STR2629,POS172,NONPRIME,7829975914,CASH,HOME-DELIVERY,Mandasor,Madhya Pradesh,,543,Lighthouse clock,636.0,2,1272.0
97742402,1595689047091,STR2629,POS172,NONPRIME,7829975914,CASH,HOME-DELIVERY,Mandasor,Madhya Pradesh,,363,Rocking chair,2021.0,1,2021.0
97742402,1595689047091,STR2629,POS172,NONPRIME,7829975914,CASH,HOME-DELIVERY,Mandasor,Madhya Pradesh,,483,Teacups and saucers,1781.0,2,3562.0
67840235,1595689047592,STR7188,POS956,PRIME,4629185211,CARD,TAKEAWAY,,,,208,Canopy bed,508.0,2,1016.0
22269788,1595689047592,STR7188,POS825,PRIME,7051101351,CASH,HOME-DELIVERY,Adoni,Andhra Pradesh,,448,Martini glass,2263.0,2,4526.0
22269788,1595689047592,STR7188,POS825,PRIME,7051101351,CASH,HOME-DELIVERY,Adoni,Andhra Pradesh,,378,Air Bed,2263.0,1,2263.0
22269788,1595689047592,STR7188,POS825,PRIME,7051101351,CASH,HOME-DELIVERY,Adoni,Andhra Pradesh,,428,Cocktail glass,1422.0,2,2844.0
22269788,1595689047592,STR7188,POS825,PRIME,7051101351,CASH,HOME-DELIVERY,Adoni,Andhra Pradesh,,318,Bofinger chair,1119.0,2,2238.0
73816876,1595689048093,STR6162,POS987,NONPRIME,8071065242,CASH,TAKEAWAY,,,,448,Martini glass,2263.0,2,4526.0
73816876,1595689048093,STR6162,POS987,NONPRIME,8071065242,CASH,TAKEAWAY,,,,663,Corkscrew,983.0,1,983.0
73816876,1595689048093,STR6162,POS987,NONPRIME,8071065242,CASH,TAKEAWAY,,,,473,Mason jars,1358.0,1,1358.0
84593321,1595689048093,STR1955,POS493,PRIME,4405006483,CARD,TAKEAWAY,,,,383,Innerspring Mattress,655.0,1,655.0
84593321,1595689048093,STR1955,POS493,PRIME,4405006483,CARD,TAKEAWAY,,,,463,Cookie jars,793.0,2,1586.0
84593321,1595689048093,STR1955,POS493,PRIME,4405006483,CARD,TAKEAWAY,,,,313,Brewster Chair,2195.0,1,2195.0
7552945,1595689049097,STR3781,POS444,NONPRIME,9223558893,CASH,TAKEAWAY,,,,473,Mason jars,1358.0,2,2716.0
64445740,1595689049097,STR7188,POS956,PRIME,4629185211,CARD,TAKEAWAY,,,,318,Bofinger chair,1119.0,2,2238.0
64445740,1595689049097,STR7188,POS956,PRIME,4629185211,CARD,TAKEAWAY,,,,393,Hybrid Mattress,2217.0,2,4434.0
64445740,1595689049097,STR7188,POS956,PRIME,4629185211,CARD,TAKEAWAY,,,,433,Depression glass,1950.0,1,1950.0
64445740,1595689049097,STR7188,POS956,PRIME,4629185211,CARD,TAKEAWAY,,,,688,Ladle,570.0,1,570.0
37078934,1595689049599,STR3781,POS129,PRIME,4692642935,CASH,HOME-DELIVERY,Palakkad,Kerala,,343,Massage chair,1354.0,2,2708.0
37078934,1595689049599,STR3781,POS129,PRIME,4692642935,CASH,HOME-DELIVERY,Palakkad,Kerala,,588,Sheer Curtains,801.0,1,801.0
20274631,1595689050602,STR8513,POS311,NONPRIME,8111613552,CASH,TAKEAWAY,,,,223,Hammock,1210.0,1,1210.0
20274631,1595689050602,STR8513,POS311,NONPRIME,8111613552,CASH,TAKEAWAY,,,,353,Recliner,1585.0,1,1585.0
20274631,1595689050602,STR8513,POS311,NONPRIME,8111613552,CASH,TAKEAWAY,,,,648,Bottle opener,321.0,1,321.0
20274631,1595689050602,STR8513,POS311,NONPRIME,8111613552,CASH,TAKEAWAY,,,,313,Brewster Chair,2195.0,2,4390.0
20007964,1595689050602,STR3781,POS978,NONPRIME,6244229107,CARD,TAKEAWAY,,,,628,Window Scarf,1774.0,2,3548.0
20007964,1595689050602,STR3781,POS978,NONPRIME,6244229107,CARD,TAKEAWAY,,,,273,Bedroom set,842.0,1,842.0
70425985,1595689051104,STR8513,POS311,NONPRIME,8111613552,CASH,TAKEAWAY,,,,353,Recliner,1585.0,2,3170.0
81575818,1595689052109,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Palakkad,Kerala,,553,Banjo clock,1651.0,2,3302.0
81575818,1595689052109,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Palakkad,Kerala,,288,Hutch,1812.0,1,1812.0
81575818,1595689052109,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Palakkad,Kerala,,648,Bottle opener,321.0,2,642.0
81575818,1595689052109,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Palakkad,Kerala,,563,Chiming clock,2168.0,1,2168.0
6874951,1595689052611,STR5494,POS353,NONPRIME,8189067868,CASH,TAKEAWAY,,,,698,Meat grinder,1250.0,2,2500.0
6874951,1595689052611,STR5494,POS353,NONPRIME,8189067868,CASH,TAKEAWAY,,,,268,Floating shelf,1894.0,1,1894.0
6874951,1595689052611,STR5494,POS353,NONPRIME,8189067868,CASH,TAKEAWAY,,,,328,Dining chair,1223.0,1,1223.0
6874951,1595689052611,STR5494,POS353,NONPRIME,8189067868,CASH,TAKEAWAY,,,,603,Sheer Curtains,1282.0,1,1282.0
38995977,1595689053113,STR6347,POS856,NONPRIME,5724653917,CASH,TAKEAWAY,,,,508,Kitchen knife,2483.0,2,4966.0
38995977,1595689053113,STR6347,POS856,NONPRIME,5724653917,CASH,TAKEAWAY,,,,453,Shot glass,674.0,1,674.0
38995977,1595689053113,STR6347,POS856,NONPRIME,5724653917,CASH,TAKEAWAY,,,,218,Sofa bed,895.0,1,895.0
38995977,1595689053113,STR6347,POS856,NONPRIME,5724653917,CASH,TAKEAWAY,,,,293,Bar stool,1148.0,1,1148.0
32456756,1595689053615,STR1955,POS324,NONPRIME,3916555911,CASH,HOME-DELIVERY,Shivapuri,Madhya Pradesh,,368,Stool,888.0,1,888.0
32456756,1595689053615,STR1955,POS324,NONPRIME,3916555911,CASH,HOME-DELIVERY,Shivapuri,Madhya Pradesh,,318,Bofinger chair,1119.0,2,2238.0
33330887,1595689053615,STR1955,POS992,NONPRIME,1482417862,CASH,TAKEAWAY,,,,698,Meat grinder,1250.0,1,1250.0
33330887,1595689053615,STR1955,POS992,NONPRIME,1482417862,CASH,TAKEAWAY,,,,303,Bench,2251.0,1,2251.0
30262802,1595689054118,STR3781,POS494,PRIME,7892154732,CARD,HOME-DELIVERY,Tiruvottiyur,Tamil Nadu,,223,Hammock,1210.0,1,1210.0
30262802,1595689054118,STR3781,POS494,PRIME,7892154732,CARD,HOME-DELIVERY,Tiruvottiyur,Tamil Nadu,,313,Brewster Chair,2195.0,2,4390.0
30262802,1595689054118,STR3781,POS494,PRIME,7892154732,CARD,HOME-DELIVERY,Tiruvottiyur,Tamil Nadu,,613,Goblet Pleat Drapes,1583.0,2,3166.0
85099783,1595689054118,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Eluru,Andhra Pradesh,,553,Banjo clock,1651.0,2,3302.0
85099783,1595689054118,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Eluru,Andhra Pradesh,,563,Chiming clock,2168.0,2,4336.0
85099783,1595689054118,STR6347,POS333,NONPRIME,9740604930,CARD,HOME-DELIVERY,Eluru,Andhra Pradesh,,288,Hutch,1812.0,2,3624.0
56162123,1595689054620,STR6162,POS868,NONPRIME,9282685191,CARD,HOME-DELIVERY,Ahmadnagar,Maharastra,,418,Wing chair,1431.0,1,1431.0
56162123,1595689054620,STR6162,POS868,NONPRIME,9282685191,CARD,HOME-DELIVERY,Ahmadnagar,Maharastra,,698,Meat grinder,1250.0,2,2500.0
56162123,1595689054620,STR6162,POS868,NONPRIME,9282685191,CARD,HOME-DELIVERY,Ahmadnagar,Maharastra,,223,Hammock,1210.0,1,1210.0
56162123,1595689054620,STR6162,POS868,NONPRIME,9282685191,CARD,HOME-DELIVERY,Ahmadnagar,Maharastra,,683,Grater,370.0,1,370.0
97240808,1595689055122,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,648,Bottle opener,321.0,1,321.0
97240808,1595689055122,STR6347,POS994,PRIME,6296964163,CASH,TAKEAWAY,,,,233,Coffee table,1055.0,1,1055.0
62464984,1595689055630,STR3781,POS494,PRIME,7892154732,CARD,HOME-DELIVERY,Jodhpur,Rajasthan,,418,Wing chair,1431.0,2,2862.0
62464984,1595689055630,STR3781,POS494,PRIME,7892154732,CARD,HOME-DELIVERY,Jodhpur,Rajasthan,,293,Bar stool,1148.0,2,2296.0
62464984,1595689055630,STR3781,POS494,PRIME,7892154732,CARD,HOME-DELIVERY,Jodhpur,Rajasthan,,483,Teacups and saucers,1781.0,2,3562.0
42064158,1595689056132,STR6347,POS622,PRIME,5697125813,CARD,HOME-DELIVERY,Tiruvottiyur,Tamil Nadu,,358,Restraint chair,1943.0,1,1943.0
42064158,1595689056132,STR6347,POS622,PRIME,5697125813,CARD,HOME-DELIVERY,Tiruvottiyur,Tamil Nadu,,463,Cookie jars,793.0,1,793.0
42064158,1595689056132,STR6347,POS622,PRIME,5697125813,CARD,HOME-DELIVERY,Tiruvottiyur,Tamil Nadu,,238,Dining table,1582.0,2,3164.0
46200977,1595689058140,STR1955,POS992,NONPRIME,1482417862,CASH,TAKEAWAY,,,,553,Banjo clock,1651.0,2,3302.0
17610171,1595689058641,STR3781,POS843,NONPRIME,1191112820,CARD,HOME-DELIVERY,Murwara,Madhya Pradesh,,348,Navy chair,1998.0,2,3996.0
17610171,1595689058641,STR3781,POS843,NONPRIME,1191112820,CARD,HOME-DELIVERY,Murwara,Madhya Pradesh,,518,Hourglass,1598.0,2,3196.0
84816016,1595689059144,STR1955,POS324,NONPRIME,3916555911,CASH,HOME-DELIVERY,Surendranagar,Gujarat,,353,Recliner,1585.0,2,3170.0
44519691,1595689059144,STR6347,POS622,PRIME,5697125813,CARD,HOME-DELIVERY,Mangalore,Karnataka,,233,Coffee table,1055.0,1,1055.0
76213502,1595689059645,STR6347,POS927,NONPRIME,3996109634,CARD,HOME-DELIVERY,Mango,Jharkhand,,628,Window Scarf,1774.0,2,3548.0
60373482,1595689059645,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Serampore,West Bengal,,353,Recliner,1585.0,1,1585.0
60373482,1595689059645,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Serampore,West Bengal,,598,Grommet Curtains,914.0,2,1828.0
60373482,1595689059645,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Serampore,West Bengal,,443,Margarita glass,2475.0,1,2475.0
60373482,1595689059645,STR5494,POS759,NONPRIME,4937932830,CARD,HOME-DELIVERY,Serampore,West Bengal,,248,TV tray table,1947.0,2,3894.0
34298456,1595689060147,STR5494,POS121,PRIME,9509332022,CARD,TAKEAWAY,,,,468,Lunch box,1467.0,1,1467.0
27510993,1595689060649,STR8513,POS155,NONPRIME,2389018842,CASH,HOME-DELIVERY,Sitapur,Uttar Pradesh,,578,Goblet Pleat Curtains,1765.0,2,3530.0
